 density = 5.8 #in g/cm^3
#http://physcs.nist.gov/PhysRefData/Xcom/html/xcom1-t.html
#Z=30	: 0.050000
#Z=48	: 0.450000
#Z=52	: 0.500000
# PHOTON       SCATTERING         PHOTO-    PAIR PRODUCTION    TOTAL ATTENUATION
# ENERGY    COHERENT INCOHER.    ELECTRIC    IN        IN       WITH     WITHOUT
#                               ABSORPTION NUCLEAR  ELECTRON  COHERENT  COHERENT
#                                           FIELD     FIELD    SCATT.    SCATT.
#   (MeV)    (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)
#
 4.612E-03 4.836E+00 3.303E-02 9.037E+02 0.000E+00 0.000E+00 9.086E+02 9.037E+02
 4.773E-03 4.731E+00 3.406E-02 8.320E+02 0.000E+00 0.000E+00 8.367E+02 8.320E+02
 4.939E-03 4.625E+00 3.510E-02 7.660E+02 0.000E+00 0.000E+00 7.706E+02 7.660E+02
#52 L1 
 4.939E-03 4.625E+00 3.510E-02 8.275E+02 0.000E+00 0.000E+00 8.322E+02 8.276E+02
 5.000E-03 4.587E+00 3.548E-02 8.026E+02 0.000E+00 0.000E+00 8.072E+02 8.026E+02
 6.000E-03 4.023E+00 4.138E-02 5.041E+02 0.000E+00 0.000E+00 5.081E+02 5.041E+02
 8.000E-03 3.164E+00 5.190E-02 2.362E+02 0.000E+00 0.000E+00 2.394E+02 2.363E+02
 9.659E-03 2.656E+00 5.946E-02 1.427E+02 0.000E+00 0.000E+00 1.454E+02 1.427E+02
#30 K 
 9.659E-03 2.656E+00 5.946E-02 1.536E+02 0.000E+00 0.000E+00 1.563E+02 1.537E+02
 1.000E-02 2.569E+00 6.089E-02 1.401E+02 0.000E+00 0.000E+00 1.427E+02 1.401E+02
 1.500E-02 1.686E+00 7.748E-02 4.648E+01 0.000E+00 0.000E+00 4.825E+01 4.656E+01
 2.000E-02 1.185E+00 8.824E-02 2.093E+01 0.000E+00 0.000E+00 2.221E+01 2.102E+01
 2.671E-02 7.917E-01 9.775E-02 9.276E+00 0.000E+00 0.000E+00 1.017E+01 9.373E+00
#48 K 
 2.671E-02 7.917E-01 9.775E-02 2.810E+01 0.000E+00 0.000E+00 2.899E+01 2.820E+01
 3.000E-02 6.689E-01 1.010E-01 2.071E+01 0.000E+00 0.000E+00 2.148E+01 2.082E+01
 3.181E-02 6.139E-01 1.025E-01 1.773E+01 0.000E+00 0.000E+00 1.845E+01 1.783E+01
#52 K 
 3.181E-02 6.139E-01 1.025E-01 3.296E+01 0.000E+00 0.000E+00 3.368E+01 3.306E+01
 4.000E-02 4.361E-01 1.077E-01 1.805E+01 0.000E+00 0.000E+00 1.859E+01 1.816E+01
 5.000E-02 3.088E-01 1.111E-01 9.850E+00 0.000E+00 0.000E+00 1.027E+01 9.961E+00
 6.000E-02 2.296E-01 1.128E-01 5.956E+00 0.000E+00 0.000E+00 6.298E+00 6.068E+00
 8.000E-02 1.407E-01 1.129E-01 2.654E+00 0.000E+00 0.000E+00 2.907E+00 2.767E+00
 1.000E-01 9.524E-02 1.111E-01 1.405E+00 0.000E+00 0.000E+00 1.611E+00 1.516E+00
 1.500E-01 4.624E-02 1.045E-01 4.374E-01 0.000E+00 0.000E+00 5.881E-01 5.419E-01
 2.000E-01 2.729E-02 9.778E-02 1.912E-01 0.000E+00 0.000E+00 3.163E-01 2.890E-01
 3.000E-01 1.269E-02 8.676E-02 6.088E-02 0.000E+00 0.000E+00 1.603E-01 1.476E-01
 4.000E-01 7.302E-03 7.848E-02 2.795E-02 0.000E+00 0.000E+00 1.137E-01 1.064E-01
 5.000E-01 4.732E-03 7.204E-02 1.572E-02 0.000E+00 0.000E+00 9.249E-02 8.776E-02
 6.000E-01 3.315E-03 6.688E-02 1.005E-02 0.000E+00 0.000E+00 8.025E-02 7.693E-02
 8.000E-01 1.883E-03 5.896E-02 5.194E-03 0.000E+00 0.000E+00 6.603E-02 6.415E-02
 1.000E+00 1.211E-03 5.308E-02 3.243E-03 0.000E+00 0.000E+00 5.753E-02 5.632E-02
 1.022E+00 1.160E-03 5.254E-02 3.086E-03 0.000E+00 0.000E+00 5.679E-02 5.563E-02
 1.250E+00 7.777E-04 4.753E-02 2.082E-03 1.664E-04 0.000E+00 5.055E-02 4.978E-02
 1.500E+00 5.409E-04 4.323E-02 1.491E-03 7.750E-04 0.000E+00 4.604E-02 4.549E-02
 2.000E+00 3.049E-04 3.692E-02 9.082E-04 2.655E-03 0.000E+00 4.079E-02 4.048E-02
 2.044E+00 2.920E-04 3.647E-02 8.763E-04 2.839E-03 0.000E+00 4.047E-02 4.018E-02
 3.000E+00 1.357E-04 2.906E-02 4.825E-04 6.796E-03 1.017E-05 3.649E-02 3.635E-02
 4.000E+00 7.639E-05 2.425E-02 3.201E-04 1.048E-02 4.147E-05 3.517E-02 3.509E-02
 5.000E+00 4.891E-05 2.095E-02 2.369E-04 1.367E-02 8.254E-05 3.498E-02 3.494E-02
 6.000E+00 3.396E-05 1.851E-02 1.871E-04 1.642E-02 1.267E-04 3.528E-02 3.525E-02
 7.000E+00 2.495E-05 1.664E-02 1.542E-04 1.887E-02 1.706E-04 3.587E-02 3.584E-02
 8.000E+00 1.911E-05 1.515E-02 1.309E-04 2.108E-02 2.131E-04 3.659E-02 3.657E-02
